symbol;name;short_name;sector;industry
SNAXW;Stryve Foods Inc. Warrant;Stryve Foods Warrant;Consumer Staples;Specialty Foods
SNBR;Sleep Number Corporation Common Stock;Sleep Number;Consumer Discretionary;Home Furnishings
SNCE;Science 37 Holdings Inc. Common Stock;Science 37 Holdings;Technology;Computer Software: Prepackaged Software
SNCR;Synchronoss Technologies Inc. Common Stock;Synchronoss Technologies;Technology;EDP Services
SNCRL;Synchronoss Technologies Inc. 8.375% Senior Notes due 2026;Synchronoss Technologies Senior Notes;Technology;EDP Services
SNCY;Sun Country Airlines Holdings Inc. Common Stock;Sun Country Airlines Holdings;Consumer Discretionary;Air Freight/Delivery Services
SND;Smart Sand Inc. Common Stock;Smart Sand;Industrials;Metal Fabrications
SNDA;Sonida Senior Living Inc. Common Stock;Sonida Senior Living;Health Care;Hospital/Nursing Management
SNDL;SNDL Inc. Common Shares;SNDL;Health Care;Pharmaceuticals and Biotechnology
SNDR;Schneider National Inc. Common Stock;Schneider National;Industrials;Trucking Freight/Courier Services
SNDX;Syndax Pharmaceuticals Inc. Common Stock;Syndax Pharmaceuticals;Health Care;Biotechnology: Pharmaceutical Preparations
SNES;SenesTech Inc. Common Stock;SenesTech;Industrials;Multi-Sector Companies
SNEX;StoneX Group Inc. Common Stock;StoneX;Finance;Investment Bankers/Brokers/Service
SNFCA;Security National Financial Corporation Class A Common Stock;Security National Financial;Finance;Diversified Financial Services
SNGX;Soligenix Inc. Common Stock;Soligenix;Health Care;Biotechnology: Pharmaceutical Preparations
SNMP;Evolve Transition Infrastructure LP Common Stock;Evolve Transition Infrastructure;Energy;Oil & Gas Production
SNN;Smith & Nephew SNATS Inc. Common Stock;Smith & Nephew;Health Care;Industrial Specialties
SNOA;Sonoma Pharmaceuticals Inc. Common Stock;Sonoma Pharmaceuticals;Health Care;Biotechnology: Pharmaceutical Preparations
SNOW;Snowflake Inc. Class A Common Stock;Snowflake;Technology;Computer Software: Prepackaged Software
SNPO;Snap One Holdings Corp. Common Stock;Snap One Holdings;Consumer Discretionary;Electronics Distribution
SNPS;Synopsys Inc. Common Stock;Synopsys;Technology;EDP Services
SNPX;Synaptogenix Inc. Common Stock;Synaptogenix;Health Care; Medicinal Chemicals and Botanical Products
SNRH;Senior Connect Acquisition Corp. I Class A Common Stock;Senior Connect Acquisition;Industrials;Consumer Electronics/Appliances
SNRHU;Senior Connect Acquisition Corp. I Unit;Senior Connect Acquisition Unit;Industrials;Consumer Electronics/Appliances
SNRHW;Senior Connect Acquisition Corp. I Warrant;Senior Connect Acquisition Warrant;Industrials;Consumer Electronics/Appliances
SNSE;Sensei Biotherapeutics Inc. Common Stock;Sensei Biotherapeutics;Health Care;Biotechnology: Pharmaceutical Preparations
SNT;Senstar Technologies Ltd. Ordinary Shares;Senstar Technologies;Telecommunications;Telecommunications Equipment
